TITLE = "M6 WING - SURFACE PRESSURE DISTRIBUTIONS - TEST 2308 0.8395 3.0600  0.117E+08"
VARIABLES = "NP", "X/L", "Y/b", "Z/L", "Cp"
ZONE T="Section  1", I =   34, j=1, F=POINT
ZONE T="Section  4", I =   34, j=1, F=POINT
    12    9.49870E-01    8.00000E-01   -7.31000E-03    1.62000E-01
    11    8.22230E-01    8.00000E-01   -2.12500E-02   -5.00000E-03
    10    6.72160E-01    8.00000E-01   -3.53700E-02   -1.31000E-01
     9    5.72300E-01    8.00000E-01   -4.26100E-02   -2.05000E-01
     8    4.72200E-01    8.00000E-01   -4.75500E-02   -2.85000E-01
     7    3.72350E-01    8.00000E-01   -4.89100E-02   -2.83000E-01
     6    2.72300E-01    8.00000E-01   -4.72300E-02   -2.30000E-01
     5    1.72420E-01    8.00000E-01   -4.23800E-02   -1.43000E-01
     4    5.01700E-02    8.00000E-01   -2.97400E-02   -2.70000E-02
     3    1.99900E-02    8.00000E-01   -2.26800E-02    2.50000E-02
     2    6.11000E-03    8.00000E-01   -1.35500E-02    5.80000E-01
     1    0.00000E+00    8.00000E-01    0.00000E+00    7.52000E-01
    34    2.10000E-03    8.00000E-01    7.87000E-03    3.04000E-01
    33    8.93000E-03    8.00000E-01    1.61900E-02   -3.24000E-01
    32    2.01200E-02    8.00000E-01    2.27600E-02   -9.76000E-01
    31    3.53000E-02    8.00000E-01    2.70100E-02   -1.20600E+00
    30    6.01100E-02    8.00000E-01    3.12700E-02   -1.16100E+00
    29    1.00190E-01    8.00000E-01    3.62300E-02   -1.05800E+00
    28    1.50240E-01    8.00000E-01    4.07800E-02   -9.96000E-01
    27    2.00160E-01    8.00000E-01    4.41000E-02   -9.54000E-01
    26    2.50210E-01    8.00000E-01    4.64700E-02   -6.18000E-01
    25    3.00210E-01    8.00000E-01    4.79900E-02   -6.28000E-01
    24    3.50150E-01    8.00000E-01    4.87900E-02   -6.77000E-01
    23    3.99770E-01    8.00000E-01    4.88500E-02   -3.03000E-01
    22    4.50090E-01    8.00000E-01    4.81300E-02   -2.45000E-01
    21    5.00200E-01    8.00000E-01    4.64800E-02   -2.44000E-01
    20    5.50330E-01    8.00000E-01    4.39300E-02   -2.22000E-01
    19    6.00180E-01    8.00000E-01    4.07800E-02   -1.81000E-01
    18    6.50150E-01    8.00000E-01    3.71100E-02   -1.39000E-01
    17    7.09770E-01    8.00000E-01    3.22200E-02   -9.70000E-02
    16    7.80120E-01    8.00000E-01    2.56200E-02   -3.10000E-02
    15    8.50100E-01    8.00000E-01    1.81500E-02    4.30000E-02
    14    9.20050E-01    8.00000E-01    1.02300E-02    1.32000E-01
    13    9.84980E-01    8.00000E-01    2.67000E-03    2.25000E-01
ZONE T="Section  5", I =   45, j=1, F=POINT
    15    9.49770E-01    9.00000E-01   -7.31000E-03    1.50000E-01
    14    8.49540E-01    9.00000E-01   -1.82200E-02    3.00000E-02
    13    7.50030E-01    9.00000E-01   -2.85100E-02   -6.20000E-02
    12    6.49880E-01    9.00000E-01   -3.71300E-02   -1.30000E-01
    11    5.49830E-01    9.00000E-01   -4.39700E-02   -2.70000E-01
    10    4.49900E-01    9.00000E-01   -4.81400E-02   -2.68000E-01
     9    3.50160E-01    9.00000E-01   -4.88000E-02   -2.88000E-01
     8    2.50120E-01    9.00000E-01   -4.64600E-02   -2.77000E-01
     7    1.50540E-01    9.00000E-01   -4.08100E-02   -1.82000E-01
     6    1.00290E-01    9.00000E-01   -3.62500E-02   -1.21000E-01
     5    6.55000E-02    9.00000E-01   -3.20300E-02   -7.80000E-02
     4    4.03000E-02    9.00000E-01   -2.78800E-02   -7.90000E-02
     3    2.03000E-02    9.00000E-01   -2.28200E-02   -1.80000E-02
     2    5.87000E-03    9.00000E-01   -1.31400E-02    5.62000E-01
     1    5.70000E-04    9.00000E-01    3.79000E-03    7.26000E-01
    45    1.84000E-03    9.00000E-01    7.27000E-03   -1.82000E-01
    44    6.26000E-03    9.00000E-01    1.36100E-02   -1.81000E-01
    43    1.22800E-02    9.00000E-01    1.87300E-02   -5.76000E-01
    42    2.00600E-02    9.00000E-01    2.27200E-02   -9.85000E-01
    41    2.98800E-02    9.00000E-01    2.58100E-02   -1.18700E+00
    40    4.96600E-02    9.00000E-01    2.96600E-02   -1.19400E+00
    39    7.44800E-02    9.00000E-01    3.32200E-02   -1.14000E+00
    38    9.99400E-02    9.00000E-01    3.62100E-02   -1.09300E+00
    37    1.39860E-01    9.00000E-01    3.99500E-02   -1.04800E+00
    36    1.79790E-01    9.00000E-01    4.28600E-02   -1.00200E+00
    35    2.20010E-01    9.00000E-01    4.51500E-02   -9.99000E-01
    34    2.59640E-01    9.00000E-01    4.68100E-02   -9.81000E-01
    33    2.99830E-01    9.00000E-01    4.80000E-02   -3.41000E-01
    32    3.39850E-01    9.00000E-01    4.86900E-02   -1.95000E-01
    31    3.79860E-01    9.00000E-01    4.89200E-02   -1.80000E-01
    30    4.19590E-01    9.00000E-01    4.86700E-02   -2.08000E-01
    29    4.59750E-01    9.00000E-01    4.78900E-02   -2.38000E-01
    28    4.99600E-01    9.00000E-01    4.65000E-02   -2.20000E-01
    27    5.39590E-01    9.00000E-01    4.45200E-02   -2.00000E-01
    26    5.79610E-01    9.00000E-01    4.21400E-02   -1.62000E-01
    25    6.19870E-01    9.00000E-01    3.93800E-02   -1.38000E-01
    24    6.59680E-01    9.00000E-01    3.63700E-02   -1.07000E-01
    23    6.99700E-01    9.00000E-01    3.30800E-02   -8.50000E-02
    22    7.39400E-01    9.00000E-01    2.94900E-02   -5.70000E-02
    21    7.79600E-01    9.00000E-01    2.56700E-02   -2.10000E-02
    20    8.19370E-01    9.00000E-01    2.15700E-02    2.10000E-02
    19    8.59550E-01    9.00000E-01    1.70900E-02    5.90000E-02
    18    8.99400E-01    9.00000E-01    1.24600E-02    9.90000E-02
